,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating
26,649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1.0,1.676,35.196,2/8/2019,15:31,Cash,6.7
27,189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2.0,8.767,184.107,3/10/2019,12:17,Credit card,7.7
28,145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5.0,22.09,463.89,1/25/2019,19:48,Cash,9.6
29,848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9.0,11.2005,235.2105,3/15/2019,15:36,Cash,7.4
30,871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5.0,23.5325,494.1825,2/25/2019,19:39,Credit card,4.8
31,149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9.0,35.1315,737.7615,1/28/2019,12:43,Cash,4.5
32,640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8.0,33.512,703.752,1/10/2019,14:49,Cash,5.1
33,595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2.0,9.658,202.818,3/15/2019,10:12,Credit card,5.1
34,183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4.0,19.884,417.564,2/6/2019,10:42,Ewallet,7.5
35,232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1.0,3.406,71.526,1/7/2019,12:28,Ewallet,6.8
36,129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5.0,15.655,328.755,3/10/2019,19:15,Ewallet,7.0
37,272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9.0,27.396,575.316,1/15/2019,17:17,Ewallet,4.7
38,333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8.0,21.968,461.328,3/23/2019,13:24,Ewallet,7.6
39,777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8.0,12.048,253.008,3/3/2019,13:01,Cash,7.7
40,280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1.0,4.336,91.056,1/17/2019,18:45,Ewallet,7.9
41,554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2.0,5.611,117.831,2/2/2019,10:11,Cash,6.3
42,354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6.0,20.736,435.456,2/8/2019,13:03,Cash,5.6
43,228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8.0,39.48,829.08,3/4/2019,20:39,Cash,7.6
44,617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2.0,1.537,32.277,3/16/2019,19:47,Cash,7.2
45,132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4.0,18.792,394.632,3/9/2019,18:00,Cash,9.5
46,370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9.0,25.5105,535.7205,2/27/2019,17:24,Credit card,8.4
47,727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9.0,9.0045,189.0945,2/6/2019,15:47,Ewallet,4.1
48,669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6.0,5.679,119.259,2/10/2019,12:45,Credit card,8.1
49,574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10.0,41.315,867.615,3/19/2019,17:08,Ewallet,7.9
50,326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7.0,31.99,671.79,2/3/2019,10:19,Cash,9.5
51,162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5.0,11.1475,234.0975,2/10/2019,15:10,Cash,8.5
52,616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4.0,3.574,75.054,3/22/2019,14:42,Ewallet,6.5
53,778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1.0,0.7715,16.2015,1/25/2019,15:46,Credit card,6.1
54,242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2.0,1.616,33.936,3/7/2019,11:49,Ewallet,6.5
55,399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8.0,34.392,722.232,2/28/2019,19:01,Cash,8.2
56,106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2.0,4.434,93.114,3/27/2019,11:26,Cash,5.8
57,635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8.0,35.84,752.64,2/7/2019,11:28,Ewallet,6.6
58,817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10.0,36.175,759.675,1/20/2019,15:55,Cash,5.4
59,120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6.0,9.183,192.843,3/12/2019,20:36,Cash,9.3
60,285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3.0,3.711,77.931,2/15/2019,17:47,Credit card,10.0
61,803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6.0,16.719,351.099,2/24/2019,10:55,Ewallet,7.0
62,347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9.0,24.7815,520.4115,2/3/2019,13:40,Ewallet,10.0
63,199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10.0,7.905,166.005,3/6/2019,12:27,Credit card,8.6
64,853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4.0,15.148,318.108,2/14/2019,14:35,Cash,7.6
65,877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10.0,7.935,166.635,3/13/2019,16:40,Cash,5.8
66,838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2.0,3.347,70.287,2/10/2019,15:43,Ewallet,6.7
67,109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6.0,29.283,614.943,1/7/2019,15:01,Ewallet,9.9
68,232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10.0,39.385,827.085,1/24/2019,10:04,Cash,6.4
69,382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1.0,0.9165,19.2465,2/2/2019,18:50,Cash,4.3
70,393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10.0,44.74,939.54,1/6/2019,12:46,Credit card,9.6
71,796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10.0,31.06,652.26,2/11/2019,16:19,Cash,5.9
72,510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3.0,7.278,152.838,3/5/2019,18:17,Ewallet,4.0
73,841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6.0,22.773,478.233,3/9/2019,18:21,Cash,8.7
74,287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9.0,33.6015,705.6315,1/22/2019,10:55,Ewallet,9.4
75,732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10.0,20.825,437.325,,17:04,Credit card,5.4
76,263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9.0,22.068,463.428,1/9/2019,14:20,Credit card,8.6
77,381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9.0,9.0045,189.0945,1/12/2019,15:48,Credit card,5.7
78,829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10.0,39.155,822.255,3/5/2019,16:24,Ewallet,6.6
79,756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5.0,5.095,106.995,1/22/2019,18:56,Cash,6.0
80,870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6.0,29.757,624.897,1/21/2019,14:42,Credit card,5.5
81,847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3.0,14.502,304.542,1/26/2019,19:56,Ewallet,6.4
82,480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8.0,7.7,161.7,1/23/2019,18:37,Ewallet,6.6
83,787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4.0,16.072,337.512,2/23/2019,18:45,Credit card,8.3
84,360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5.0,12.2275,256.7775,3/9/2019,10:17,Cash,6.6
85,730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7.0,29.071,610.491,3/5/2019,14:31,Ewallet,4.0
86,362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5.0,19.13,401.73,3/25/2019,10:23,Cash,9.9
87,633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7.0,17.283,362.943,3/27/2019,20:35,Credit card,7.3
88,504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1.0,2.1235,44.5935,1/2/2019,16:57,Cash,5.7
89,318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6.0,23.097,485.037,2/27/2019,17:55,Cash,6.1
90,565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4.0,9.476,198.996,1/23/2019,10:25,Cash,7.1
91,225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10.0,22.43,471.03,1/26/2019,19:54,Ewallet,8.2
92,873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7.0,7.693,161.553,1/10/2019,16:42,Ewallet,5.1
93,152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9.0,28.962,608.202,3/12/2019,12:09,Credit card,8.6
94,512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1.0,4.4875,94.2375,2/6/2019,20:05,Credit card,6.6
95,594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1.0,4.858,102.018,3/8/2019,20:38,Ewallet,7.2
96,766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10.0,43.935,922.635,3/29/2019,10:25,Ewallet,5.1
97,871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6.0,3.735,78.435,2/9/2019,13:11,Cash,4.1
98,865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3.0,7.9125,166.1625,3/23/2019,10:16,Ewallet,9.3
99,733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6.0,24.81,521.01,3/5/2019,18:14,Cash,7.4
100,163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1.0,2.4355,51.1455,3/26/2019,19:20,Cash,4.1
101,189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9.0,35.3475,742.2975,3/1/2019,13:22,Cash,7.2
102,551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9.0,10.3815,218.0115,2/1/2019,11:27,Cash,4.9
103,212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6.0,17.478,367.038,3/28/2019,16:44,Cash,9.9
104,716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7.0,10.6225,223.0725,3/19/2019,18:19,Cash,8.0
105,704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10.0,44.335,931.035,1/12/2019,14:50,Ewallet,7.3
106,628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6.0,8.214,172.494,1/5/2019,20:54,Credit card,7.9
107,630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6.0,18.639,391.419,3/22/2019,20:19,Cash,7.4
108,588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9.0,15.291,321.111,3/24/2019,10:43,Cash,4.2
109,861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10.0,40.985,860.685,3/3/2019,14:30,Cash,9.2
110,479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2.0,1.649,34.629,2/5/2019,11:32,Ewallet,4.6
111,210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3.0,14.7315,309.3615,2/5/2019,10:41,Credit card,7.8
112,227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7.0,25.494,535.374,2/15/2019,12:44,Cash,8.4
113,645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9.0,26.1315,548.7615,1/19/2019,20:07,Ewallet,4.3
114,237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9.0,36.3555,763.4655,2/1/2019,20:31,Credit card,9.5
115,225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3.0,4.053,85.113,3/2/2019,13:01,Credit card,7.1
116,291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5.0,5.485,115.185,3/5/2019,12:29,Ewallet,5.3
117,659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1.0,2.568,53.928,1/16/2019,15:26,Ewallet,5.2
118,642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10.0,5.48,115.08,2/2/2019,20:48,Ewallet,6.0
119,378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2.0,5.344,112.224,1/20/2019,20:38,Ewallet,4.1
120,638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8.0,39.824,836.304,2/14/2019,17:03,Credit card,5.2
121,659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7.0,19.992,419.832,1/12/2019,12:02,Credit card,6.5
122,219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9.0,44.982,944.622,3/9/2019,17:26,Credit card,4.2
123,336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8.0,25.564,536.844,3/13/2019,19:52,Credit card,4.6
124,268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8.0,22.588,474.348,3/9/2019,14:57,Ewallet,7.3
125,668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7.0,32.7915,688.6215,3/10/2019,18:44,Credit card,4.5
126,870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5.0,8.0625,169.3125,1/27/2019,13:26,Cash,9.0
127,189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9.0,14.2785,299.8485,1/8/2019,16:17,Credit card,5.9
128,663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8.0,27.416,575.736,1/8/2019,15:57,Ewallet,8.5
129,549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9.0,40.626,853.146,2/8/2019,11:15,Ewallet,7.2
130,191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7.0,13.867,291.207,1/25/2019,13:18,Cash,7.5
131,802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6.0,27.639,580.419,3/6/2019,20:34,Cash,8.3
132,695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4.0,6.968,146.328,2/10/2019,18:36,Cash,7.4
133,590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6.0,26.235,550.935,2/17/2019,14:40,Credit card,8.8
134,483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6.0,24.39,512.19,3/8/2019,16:43,Ewallet,5.3
135,597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3.0,13.533,284.193,2/18/2019,19:39,Cash,6.2
136,700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5.0,6.5775,138.1275,1/18/2019,20:59,Credit card,8.8
137,354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6.0,10.326,216.846,2/18/2019,15:39,Cash,9.8
138,241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10.0,25.955,545.055,2/16/2019,12:21,Cash,8.2
139,575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8.0,29.0,609.0,3/16/2019,19:25,Ewallet,9.2
140,731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10.0,44.9,942.9,1/23/2019,13:00,Credit card,5.4
141,280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10.0,45.25,950.25,1/25/2019,13:48,Cash,8.1
142,338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10.0,34.3,720.3,2/5/2019,19:57,Cash,9.1
143,488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1.0,1.5205,31.9305,2/22/2019,10:36,Credit card,8.4
144,239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6.0,23.385,491.085,1/21/2019,16:37,Ewallet,8.0
145,458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6.0,13.878,291.438,3/8/2019,17:11,Credit card,9.5
146,685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10.0,15.07,316.47,2/10/2019,12:28,Ewallet,9.2
147,568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4.0,13.228,277.788,3/19/2019,12:46,Credit card,5.6
148,262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8.0,28.744,603.624,3/6/2019,15:07,Credit card,6.2
149,238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8.0,12.984,272.664,3/27/2019,13:48,Credit card,4.9
150,608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4.0,18.308,384.468,3/23/2019,19:20,Credit card,4.8
151,584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7.0,,254.016,3/11/2019,16:07,Credit card,7.3
152,746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9.0,37.458,786.618,1/29/2019,11:56,Credit card,7.4
153,214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6.0,4.944,103.824,2/7/2019,18:23,Ewallet,9.9
154,400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8.0,32.388,680.148,1/28/2019,13:05,Cash,9.3
155,782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5.0,23.0725,484.5225,2/20/2019,15:55,Credit card,9.0
156,279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1.0,3.6085,75.7785,1/4/2019,19:40,Cash,6.1
157,307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5.0,12.57,263.97,3/7/2019,13:58,Ewallet,9.7
158,743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9.0,43.749,918.729,3/30/2019,14:43,Ewallet,6.0
159,423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6.0,28.017,588.357,3/27/2019,19:18,Ewallet,10.0
160,894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8.0,17.272,362.712,1/19/2019,19:39,Credit card,8.3
161,275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1.0,3.1845,66.8745,2/25/2019,16:21,Cash,6.0
162,101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7.0,16.0265,336.5565,3/13/2019,19:44,Credit card,7.0
163,423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2.0,7.64,160.44,1/30/2019,19:42,Ewallet,6.5
164,548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10.0,19.95,418.95,2/20/2019,15:24,Credit card,5.9
165,505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8.0,17.028,357.588,2/25/2019,14:12,Ewallet,5.6
166,234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10.0,47.79,1003.59,1/16/2019,13:32,Cash,4.8
167,687-47-8271,A,,Normal,Male,Fashion accessories,98.98,10.0,49.49,1039.29,2/8/2019,16:20,Credit card,8.7
168,796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6.0,15.384,323.064,1/19/2019,16:31,Cash,6.5
169,105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7.0,24.332,510.972,2/1/2019,15:10,Credit card,8.5
170,249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5.0,17.5025,367.5525,1/3/2019,11:36,Ewallet,5.5
171,316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5.0,20.0125,420.2625,1/26/2019,12:45,Credit card,9.4
172,733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8.0,8.34,175.14,3/3/2019,19:17,Cash,6.3
173,608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6.0,15.867,333.207,1/19/2019,17:34,Credit card,9.8
174,414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8.0,7.916,166.236,1/18/2019,12:04,Ewallet,8.7
175,827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9.0,15.228,319.788,3/21/2019,16:21,Ewallet,8.8
176,175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8.0,8.868,186.228,3/3/2019,17:01,Credit card,9.6
177,139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7.0,7.8785,165.4485,2/13/2019,10:50,Credit card,4.8
178,407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6.0,22.164,465.444,3/23/2019,19:16,Ewallet,4.4
179,342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3.0,13.02,273.42,1/28/2019,16:47,Ewallet,9.9
180,130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7.0,22.491,472.311,2/9/2019,10:00,Cash,5.7
181,434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8.0,15.388,323.148,1/23/2019,11:51,Cash,7.7
182,851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10.0,7.75,162.75,3/23/2019,10:55,Ewallet,8.0
183,824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8.0,13.724,288.204,1/25/2019,15:00,Ewallet,5.7
184,586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7.0,4.319,90.699,3/4/2019,11:19,Credit card,6.7
185,895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3.0,2.712,56.952,3/5/2019,19:46,Ewallet,8.0
186,305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8.0,37.796,793.716,3/3/2019,19:00,Ewallet,7.5
187,732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4.0,9.294,195.174,2/8/2019,10:53,Cash,7.0
188,400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1.0,3.7035,77.7735,2/10/2019,12:50,Ewallet,9.9
189,593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4.0,13.962,293.202,1/28/2019,20:50,Credit card,5.9
190,284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3.0,11.556,242.676,2/11/2019,10:39,Credit card,7.2
191,437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2.0,7.352,154.392,1/15/2019,13:41,Ewallet,4.6
192,286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9.0,39.51,829.71,3/16/2019,19:08,Cash,9.2
193,641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4.0,5.11,107.31,1/26/2019,20:23,Ewallet,5.7
194,831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5.0,8.1775,171.7275,3/19/2019,11:30,Credit card,9.9
195,556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1.0,3.7145,78.0045,1/13/2019,19:30,Cash,5.0
196,848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,2.0,4.37,91.77,3/26/2019,18:03,Cash,4.9
197,856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1.0,1.2645,26.5545,3/23/2019,10:13,Ewallet,6.1
198,699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.5,4.0,8.3,174.3,3/12/2019,19:58,Credit card,8.2
199,420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,71.39,5.0,17.8475,374.7975,2/17/2019,19:57,Credit card,5.5
200,606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6.0,5.745,120.645,1/29/2019,10:01,Credit card,6.8
201,542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4.0,11.498,241.458,3/15/2019,11:57,Cash,6.6
202,426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7.0,21.4935,451.3635,1/14/2019,10:02,Cash,9.8
203,875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10.0,12.95,271.95,2/6/2019,14:51,Ewallet,8.7
